time	conversion	overall_conversion
7696.95	0.756173	0.756173
7706.95	0.7564	0.7564
7716.95	0.756622	0.756622
7726.95	0.756843	0.756843
7736.95	0.757064	0.757064
7746.95	0.757284	0.757284
7756.95	0.757503	0.757503
7766.95	0.757723	0.757723
7776.95	0.757943	0.757943
7786.95	0.758159	0.758159
7796.95	0.758376	0.758376
7806.96	0.758591	0.758591
7816.96	0.758809	0.758809
7826.96	0.759025	0.759025
7836.96	0.759238	0.759238
7846.96	0.759449	0.759449
7856.96	0.759661	0.759661
7866.96	0.759873	0.759873
7876.96	0.760085	0.760085
7886.96	0.760297	0.760297
7896.96	0.760507	0.760507
7906.96	0.760718	0.760718
7916.97	0.760927	0.760927
7926.97	0.761139	0.761139
7936.97	0.761347	0.761347
7946.97	0.761556	0.761556
7956.97	0.761764	0.761764
7966.97	0.761969	0.761969
7976.97	0.762171	0.762171
7986.97	0.762375	0.762375
7996.97	0.762577	0.762577
8006.97	0.762783	0.762783
8016.98	0.762989	0.762989
8026.98	0.76319	0.76319
8036.98	0.76339	0.76339
8046.98	0.763592	0.763592
8056.98	0.763793	0.763793
8066.98	0.763994	0.763994
8076.98	0.764196	0.764196
8086.98	0.764395	0.764395
8096.98	0.764594	0.764594
8106.98	0.764795	0.764795
8116.99	0.764992	0.764992
8126.99	0.765188	0.765188
8136.99	0.765384	0.765384
8146.99	0.76558	0.76558
8156.99	0.765774	0.765774
8166.99	0.765974	0.765974
8176.99	0.766167	0.766167
8186.99	0.766362	0.766362
8196.99	0.766554	0.766554
8206.99	0.766745	0.766745
8217	0.766937	0.766937
8227	0.767129	0.767129
8237	0.76732	0.76732
8247	0.767511	0.767511
8257	0.767702	0.767702
8267	0.767892	0.767892
8277	0.768082	0.768082
8287	0.768269	0.768269
8297	0.768461	0.768461
8307	0.76865	0.76865
8317.01	0.768838	0.768838
8327.01	0.769026	0.769026
8337.01	0.769213	0.769213
8347.01	0.769401	0.769401
8357.01	0.769589	0.769589
8367.01	0.769773	0.769773
8377.01	0.769959	0.769959
8387.01	0.770147	0.770147
8397.01	0.770333	0.770333
8407.01	0.770519	0.770519
8417.01	0.770705	0.770705
8427.01	0.770887	0.770887
8437.01	0.77107	0.77107
8447.01	0.77125	0.77125
8457.02	0.771431	0.771431
8467.02	0.771614	0.771614
8477.02	0.771796	0.771796
8487.02	0.771978	0.771978
8497.02	0.772157	0.772157
8507.02	0.772337	0.772337
8517.02	0.772517	0.772517
8527.03	0.772695	0.772695
8537.03	0.772874	0.772874
8547.03	0.77305	0.77305
8557.03	0.773227	0.773227
8567.03	0.773403	0.773403
8577.03	0.773579	0.773579
8587.03	0.773753	0.773753
8597.03	0.773928	0.773928
8607.03	0.774102	0.774102
8617.03	0.774278	0.774278
8627.03	0.774446	0.774446
8637.03	0.774619	0.774619
8647.03	0.774792	0.774792
8657.03	0.774964	0.774964
8667.03	0.775136	0.775136
8677.03	0.775304	0.775304
8687.03	0.775475	0.775475
8697.03	0.775644	0.775644
8707.03	0.775816	0.775816
8717.04	0.775988	0.775988
8727.04	0.776156	0.776156
8737.04	0.776323	0.776323
8747.04	0.776489	0.776489
8757.04	0.776655	0.776655
8767.04	0.776821	0.776821
8777.05	0.776991	0.776991
8787.05	0.777154	0.777154
8797.05	0.777319	0.777319
8807.05	0.777485	0.777485
8817.05	0.777651	0.777651
8827.05	0.777814	0.777814
8837.05	0.777977	0.777977
8847.05	0.778139	0.778139
8857.05	0.778307	0.778307
8867.06	0.778472	0.778472
8877.06	0.778637	0.778637
8887.06	0.778797	0.778797
8897.06	0.778963	0.778963
8907.06	0.779124	0.779124
8917.06	0.779282	0.779282
8927.06	0.779445	0.779445
8937.07	0.779605	0.779605
8947.07	0.779765	0.779765
8957.07	0.779925	0.779925
8967.07	0.780086	0.780086
8977.07	0.780243	0.780243
8987.07	0.780401	0.780401
8997.07	0.78056	0.78056
9007.07	0.780716	0.780716
9017.07	0.780873	0.780873
9027.07	0.781031	0.781031
9037.07	0.781192	0.781192
9047.07	0.78135	0.78135
9057.07	0.781506	0.781506
9067.07	0.781661	0.781661
9077.07	0.781819	0.781819
9087.08	0.781975	0.781975
9097.08	0.782127	0.782127
9107.08	0.782279	0.782279
9117.08	0.782433	0.782433
9127.08	0.782584	0.782584
9137.08	0.782737	0.782737
9147.08	0.782889	0.782889
9157.08	0.783039	0.783039
9167.08	0.783187	0.783187
9177.09	0.783337	0.783337
9187.09	0.783485	0.783485
9197.09	0.783635	0.783635
9207.09	0.783785	0.783785
9217.09	0.783933	0.783933
9227.1	0.784081	0.784081
9237.1	0.784232	0.784232
9247.1	0.784379	0.784379
9257.1	0.784528	0.784528
9267.1	0.784673	0.784673
