conversion num_unsaturated num_saturated num_HHbond
0.769401 6692 6074 2227
0.769589 6692 6074 2227
0.769773 6692 6074 2227
0.769959 6692 6074 2227
0.770147 6692 6074 2227
0.770333 6692 6074 2227
0.770519 6693 6074 2227
0.770705 6693 6074 2227
0.770887 6693 6074 2227
0.77107 6693 6074 2227
0.77125 6693 6074 2227
0.771431 6693 6074 2227
0.771614 6693 6074 2227
0.771796 6693 6074 2227
0.771978 6693 6074 2227
0.772157 6693 6074 2227
0.772337 6693 6074 2227
0.772517 6693 6074 2227
0.772695 6693 6074 2227
0.772874 6693 6074 2227
0.77305 6694 6075 2227
0.773227 6694 6075 2227
0.773403 6694 6075 2227
0.773579 6695 6076 2227
0.773753 6696 6076 2227
0.773928 6696 6076 2227
0.774102 6696 6076 2227
0.774278 6696 6076 2227
0.774446 6696 6076 2227
0.774619 6696 6076 2227
0.774792 6697 6076 2227
0.774964 6697 6076 2227
0.775136 6697 6076 2227
0.775304 6697 6076 2227
0.775475 6697 6076 2227
0.775644 6697 6076 2227
0.775816 6698 6077 2227
0.775988 6698 6077 2227
0.776156 6698 6077 2227
0.776323 6698 6077 2227
0.776489 6698 6077 2227
0.776655 6699 6078 2227
0.776821 6699 6078 2227
0.776991 6699 6078 2227
0.777154 6699 6078 2227
0.777319 6699 6078 2227
0.777485 6699 6078 2227
0.777651 6699 6078 2227
0.777814 6699 6078 2227
0.777977 6699 6078 2227
0.778139 6700 6079 2227
0.778307 6700 6079 2227
0.778472 6700 6079 2227
0.778637 6700 6079 2227
0.778797 6700 6079 2227
0.778963 6700 6079 2227
0.779124 6701 6080 2227
0.779282 6701 6080 2227
0.779445 6702 6081 2227
0.779605 6702 6081 2227
0.779765 6702 6081 2227
0.779925 6704 6081 2227
0.780086 6704 6081 2227
0.780243 6705 6081 2227
0.780401 6705 6081 2227
0.78056 6705 6081 2227
0.780716 6705 6081 2227
0.780873 6706 6082 2227
0.781031 6706 6082 2227
0.781192 6707 6083 2227
0.78135 6707 6083 2227
0.781506 6707 6083 2227
0.781661 6707 6083 2227
0.781819 6707 6083 2227
0.781975 6707 6083 2227
0.782127 6707 6083 2227
0.782279 6707 6083 2227
0.782433 6707 6083 2227
0.782584 6707 6083 2227
0.782737 6707 6083 2227
0.782889 6707 6083 2227
0.783039 6709 6084 2227
0.783187 6709 6084 2227
0.783337 6709 6084 2227
0.783485 6709 6084 2227
0.783635 6709 6084 2227
0.783785 6709 6084 2227
0.783933 6710 6084 2227
0.784081 6710 6084 2227
0.784232 6710 6084 2227
0.784379 6710 6084 2227
0.784528 6710 6084 2227
0.784673 6710 6084 2227
0.784823 6711 6085 2227
0.784972 6712 6086 2228
0.785119 6712 6086 2228
0.785264 6712 6086 2228
0.785412 6712 6086 2228
0.785555 6712 6086 2228
0.785702 6712 6086 2228
0.785849 6712 6086 2228
0.785993 6712 6086 2228
0.786136 6712 6086 2229
0.786281 6712 6086 2229
0.786426 6712 6086 2229
0.78657 6714 6087 2229
0.786716 6714 6087 2229
0.78686 6715 6087 2229
0.787004 6715 6087 2229
0.787145 6716 6088 2229
0.787287 6718 6089 2229
0.78743 6718 6089 2229
0.787575 6718 6089 2229
0.787714 6718 6089 2229
0.787856 6718 6089 2229
0.787998 6718 6089 2229
0.788138 6718 6089 2229
0.788274 6719 6090 2229
0.788413 6720 6091 2229
0.788555 6720 6091 2229
0.788693 6720 6091 2229
0.788833 6720 6091 2229
0.788973 6720 6091 2229
0.789107 6721 6092 2229
0.789244 6721 6092 2229
0.789383 6722 6092 2229
0.789521 6724 6093 2229
0.789657 6724 6093 2229
0.789796 6725 6094 2229
0.789931 6725 6094 2229
0.790065 6726 6095 2229
0.790199 6726 6095 2229
0.790333 6727 6095 2230
0.79047 6727 6095 2230
0.790603 6727 6095 2230
0.790737 6727 6095 2230
0.79087 6727 6095 2230
0.791006 6727 6095 2230
0.79114 6727 6095 2230
0.791272 6727 6095 2230
0.791401 6727 6095 2230
0.791536 6727 6095 2230
0.791669 6728 6095 2230
0.791802 6728 6095 2230
0.791936 6728 6095 2230
0.792068 6728 6095 2231
0.7922 6728 6095 2231
0.792333 6728 6095 2231
0.792465 6728 6095 2231
0.792595 6728 6095 2231
